,from.id,ksm,date
46,EY8oQaFCspHVbj5tyxZDngTkCRJLAHQ3JbfDZXhsoP7FpY2,2.452,2022-05-01T10:13:24.012Z
47,FiTzcUBTdeKF3c9saP9UsQxqsSQwNnz3uoCoBqs8EtH4yDh,2.26038,2022-04-25T16:17:24.010Z
48,Copapiu5S5VCLLwwohGMWKbULoFvpyL5bMBDJU3nrFAvi31,2.2,2022-05-12T04:47:36.019Z
49,HsAXL6i3SmpvHG7jdHpi3CGz61cfQdj55S9eHtxSwcWiFXv,2.0,2022-05-10T18:54:30.017Z
50,CzedazYTXQM6aytwZzZ24cgj58hDfm3ETZzketvw9P6atyh,1.75,2022-04-26T17:17:36.026Z
51,J6LADm1ENnYBxzmQ7fHNAi4hJyY3uneiSA2MzhSUqevJDrp,1.0987,2022-05-17T20:21:24.014Z
52,G9ewBR1akKqQNRSEnaY77AEcuniUPDopawm9pczQBKkJ3Fb,0.30000000000000004,2022-04-25T18:55:30.009Z
53,E31pzSWv6pcFiMZDF4mhBiQ6jFpwKFu7hYRF4RXxSS1guX6,0.1,2022-05-17T08:45:42.015Z
54,HfFC3qcKT116J8yzvi5vniPWfvUfvZ5HwHTEj55g8aY8HKz,0.1,2022-05-12T15:29:24.026Z
55,DmdT1hiMxTKu8LAV1gH4hdf7H7pUbm9dtzVkPQYmbPJ4ScR,0.1,2022-05-04T21:06:48.017Z
56,J1dYYtLHd4XwdeBrZVELtXxBoabUnXJbfc8oiNvNACpdXqT,0.1,2022-05-22T02:00:54.028Z
57,HcNCnh9ZLYRcXB7wm3aPyhzS4i3ghoKP6UR4intuJvp8buf,0.05,2022-04-25T18:25:06.087Z
58,D8yhHcbwNuYEJUoSDwyQXVnGJzfGpEpnRq8Qdmkc1Etw8vE,0.05,2022-04-25T19:23:30.004Z
59,DoSsDYsK1a8vMaUC3ZhVzvnpKfPZqbBXXQ5cDssxSPgtNqJ,0.01,2022-05-24T06:51:00.033Z
60,F4w3WyrsywpZp7b1YHPQmNQLvqoGy4oS6EK5fjzfSj5zzUG,0.01,2022-05-17T08:57:00.106Z
