,amount,dot,from.karura,from.kintsugi,from.kusama,from.moonriver,fromChain,from_id,kbtc,kint,ksm,timestamp,to.karura,to.kintsugi,to.kusama,to.moonriver,toChain,to_id,token,last_seen,label_from_id,label_to_id
4737,2470000000,,sZF8szvfPds7VsSEY49HXAAZuZkiPtBFRThC8TvhVXqJX6A,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,GqHavkWMePWB9SeoLn127ZcgzhzPJ747n8uW2c7vMxucUgT,0xbc5b1c7119c085d2d0c49a4c8ef3c0228c178c1e,2092,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,,0.00247,,2022-03-01T15:13:42.628000Z,tYYoEf9dwTG8AcisEDSuYQiwUiSq3zE4fm3vKsRY81yAnpP,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,HpbFHQjLCCuBpBwS2wJe8pB4ZrgVxD6w2SGEE1ckzT3Uxs4,0xe80f8d6c1a6f23322aa00d1ded1596f2569bc4ef,2092,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,KINT,2022-03-01T15:13:42.628000Z,,
4738,23000000000,,tYYoEf9dwTG8AcisEDSuYQiwUiSq3zE4fm3vKsRY81yAnpP,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,HpbFHQjLCCuBpBwS2wJe8pB4ZrgVxD6w2SGEE1ckzT3Uxs4,0xe80f8d6c1a6f23322aa00d1ded1596f2569bc4ef,2092,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,,0.023,,2022-03-01T15:08:12.419000Z,sZF8szvfPds7VsSEY49HXAAZuZkiPtBFRThC8TvhVXqJX6A,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,GqHavkWMePWB9SeoLn127ZcgzhzPJ747n8uW2c7vMxucUgT,0xbc5b1c7119c085d2d0c49a4c8ef3c0228c178c1e,2092,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,KINT,2022-03-01T15:08:12.419000Z,,
4739,11000000000,,tYYoEf9dwTG8AcisEDSuYQiwUiSq3zE4fm3vKsRY81yAnpP,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,HpbFHQjLCCuBpBwS2wJe8pB4ZrgVxD6w2SGEE1ckzT3Uxs4,0xe80f8d6c1a6f23322aa00d1ded1596f2569bc4ef,2092,a3fTRhSCAi1nQsBySuUqUwNbVqnLCbqXhmvKxPZpHVec6gJUZ,,0.011,,2022-03-01T15:05:30.682000Z,sZF8szvfPds7VsSEY49HXAAZuZkiPtBFRThC8TvhVXqJX6A,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,GqHavkWMePWB9SeoLn127ZcgzhzPJ747n8uW2c7vMxucUgT,0xbc5b1c7119c085d2d0c49a4c8ef3c0228c178c1e,2092,a3eU835XwjTy1rXEAGngBKMLwUDBWVBRexg2bfNQnf27xotEN,KINT,2022-03-01T15:05:30.682000Z,,
4740,229300000000,,obmvFLKbtkyBSoSY4agQx1xCxVGts6yVS6QiwPrxevNxE7f,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,CspNJ5uJ9WcF6Nf6sJY9YRQL3dWZmKrMnmd2qY4BXMTGEgi,0x0d584a4cbbfd9a4878d816512894e65918e54fae,2092,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,,0.2293,,2022-03-01T14:20:30.151000Z,qt7CU8sd7VF3b5M2A1pSiZ4bJ2gQK2Wxb2jMXE2aXEWz5Qo,a3cnz6ffthBpPncS54QdrUYjqVbeSB6ZzfqbdpmAtY3peVWEP,FA9eWtTKNEt7EeZaxjgBJxWiPAv5DFPpwhwfRNDoPfbJQhN,0x724595b298e4cdf6cd72205ebf00c6648fb238a8,2092,a3cnz6ffthBpPncS54QdrUYjqVbeSB6ZzfqbdpmAtY3peVWEP,KINT,2022-03-01T14:20:30.151000Z,shenanigans/Top KINT Mover/Top KINT Sink/KINT System?,
4741,83520000000000,,qZjL3uekVyz8nypjkFfFzpkiUMc84mBNqr7Nt7vj6p8DECZ,a3cUcEFSfpaK8spLYmzshHq1XcmyMtrJf66R1r84ngdQFiaXC,Eqmn6fESkjdCSZ3JYyWzbECqZVqnxz4FCXKgnG7wyFCXM5Q,0x64418c87ebade85041f844c03abc753d75d19150,2092,a3cUcEFSfpaK8spLYmzshHq1XcmyMtrJf66R1r84ngdQFiaXC,,83.52,,2022-03-01T12:06:00.350000Z,pyo7AXHnbrrNuw1iHzfUSKaLKfiz9m4yjYMCYyxdANCGdUZ,a3btg1N4JrgC17wHjkYchWGWMEdHUkwJYgz7FfnvpagxKmvna,EFqZDGsUrcVSZWEH6iXD2j2TQoxf3ywr6DZWT89r2oGanoC,0x4a5fec2940218e44bee253af9f7b8c47530c931a,2092,a3btg1N4JrgC17wHjkYchWGWMEdHUkwJYgz7FfnvpagxKmvna,KINT,2022-03-01T12:06:00.350000Z,shenanigans/Top KINT Mover,Top KINT Sink
4742,200000000000,,pfY5EsmqwrsfR1EMyK9mFHvNj7faPpkoRvKHaRPYo35EQ97,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,DwaXHdMYCcWj4aSvn31VqhNVpFuFJ3dfnbXbUZamfU9YJbv,0x3c72e624f874ddf6e3e529bb95ead69f9f06cc8e,2092,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,,0.2,,2022-03-01T11:12:00.230000Z,qCgidjFjJhkjimaF7QmqsDwHKcp2AWVfENFcLRAcoDruwJL,a3c7ZcqGGoP2uUk8JHN2oshQiBdEZnx3yNUwA5aN2aKozRLwx,EUjAgUqRZTPoNLnov8daTdPQQm3h4jNXb3TvEZMqfewEBpg,0x54349b7646366f61db3c12d13d529212d7089d58,2092,a3c7ZcqGGoP2uUk8JHN2oshQiBdEZnx3yNUwA5aN2aKozRLwx,KINT,2022-03-01T11:12:00.230000Z,,
4743,10000000000000,,ryqnYf1qairGWNd97SHCKKfg4niiFvUzWEXDJws4xqA2sZP,a3dtigkC2uf411XjMBN4KE9WSaNQUV3TxhkoRgYtj2VRHYHkT,GFtEbQbXqUVL9wqhvA8vuj7o9vxPA9MrrujXD64HqGELwKo,0xa2e1685f62b2a1a996a2a1ba10ac6836c2b72174,2092,a3dtigkC2uf411XjMBN4KE9WSaNQUV3TxhkoRgYtj2VRHYHkT,,10.0,,2022-03-01T11:09:18.372000Z,rEkDbrJUMNejNuPTV9rtVR43x6s4cWyw64KhrtoUVH9JVzg,a3d9d7oPKYRhoUQG7VjmtvKbpxFicqQ4TeLdEB6qfS1sGp9Ap,FWnfebtAc8Ho2Uc2Hsid5pWB3F6jWjroSjY1m2zhMiDcjtz,0x82031c98bdf6c4f673398308602b6fa14f99311b,2092,a3d9d7oPKYRhoUQG7VjmtvKbpxFicqQ4TeLdEB6qfS1sGp9Ap,KINT,2022-03-01T11:09:18.372000Z,shenanigans/Top KINT Sink/Top KSM Mover/Top KSM Sink/Top KBTC Mover,Selfish/Top KSM Sink/Top KBTC Mover
4744,100000000000,,ryqnYf1qairGWNd97SHCKKfg4niiFvUzWEXDJws4xqA2sZP,a3dtigkC2uf411XjMBN4KE9WSaNQUV3TxhkoRgYtj2VRHYHkT,GFtEbQbXqUVL9wqhvA8vuj7o9vxPA9MrrujXD64HqGELwKo,0xa2e1685f62b2a1a996a2a1ba10ac6836c2b72174,2092,a3dtigkC2uf411XjMBN4KE9WSaNQUV3TxhkoRgYtj2VRHYHkT,,0.1,,2022-03-01T11:07:00.105000Z,prRnBjQ8q63DnxHnRhsJVLYB8wTEZGAguCzNYFTxiCwtcD4,a3bmJgPGRCuRBxpK1pgKuLKXK5SZD1LoeQ9mtqnCKvEo5PzBz,E8UEEUyq5qgHSXWMERj35jzJE5guTV3ZFtCgSPfBae2Ch2n,0x44c1692c0dcbacc9331cd24a640fe7302cbe7ae0,2092,a3bmJgPGRCuRBxpK1pgKuLKXK5SZD1LoeQ9mtqnCKvEo5PzBz,KINT,2022-03-01T11:07:00.105000Z,shenanigans/Top KINT Sink/Top KSM Mover/Top KSM Sink/Top KBTC Mover,
4745,200000000000,,pfY5EsmqwrsfR1EMyK9mFHvNj7faPpkoRvKHaRPYo35EQ97,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,DwaXHdMYCcWj4aSvn31VqhNVpFuFJ3dfnbXbUZamfU9YJbv,0x3c72e624f874ddf6e3e529bb95ead69f9f06cc8e,2092,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,,0.2,,2022-03-01T11:05:06.617000Z,t6G6dUvyHPGvaFLoRKABz2WNiiPGuGNd5NmengoCfsVnLWN,a3f18zq1x3MiRfbc4qfwCDpDHH2L93gorLKwg82dfACTdHyxD,HNJYgEWfY8uzDpZNE31vaRxVorcwoVFVS3yxgpzRYJa6bw7,0xd402f44ef324c06d2fdcb0f68aef1e6295624efb,2092,a3f18zq1x3MiRfbc4qfwCDpDHH2L93gorLKwg82dfACTdHyxD,KINT,2022-03-01T11:05:06.617000Z,,
4746,200000000000,,pfY5EsmqwrsfR1EMyK9mFHvNj7faPpkoRvKHaRPYo35EQ97,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,DwaXHdMYCcWj4aSvn31VqhNVpFuFJ3dfnbXbUZamfU9YJbv,0x3c72e624f874ddf6e3e529bb95ead69f9f06cc8e,2092,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,,0.2,,2022-03-01T11:05:06.617000Z,qyJpNpgwCHhmoNebFGM1xvFzA99AXKavwWkrhzdMQiHwumv,a3ctBiaMi1GcrWpjNdVtP3o72tTktwJs4eC5fKwwVJwJRTPRa,FFMGRaGdT3LqSwsA3zCkZKi7FHNqRYToJByAc8paH9NFziq,0x763cecd938c628916f2e835c8cf258f14127e85a,2092,a3ctBiaMi1GcrWpjNdVtP3o72tTktwJs4eC5fKwwVJwJRTPRa,KINT,2022-03-01T11:05:06.617000Z,,
4747,200000000000,,pfY5EsmqwrsfR1EMyK9mFHvNj7faPpkoRvKHaRPYo35EQ97,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,DwaXHdMYCcWj4aSvn31VqhNVpFuFJ3dfnbXbUZamfU9YJbv,0x3c72e624f874ddf6e3e529bb95ead69f9f06cc8e,2092,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,,0.2,,2022-03-01T11:04:12.375000Z,tvNyQMdhyDRtEHvjMkdtkGzcbASQn4eseTLtkD3HLBk2a6M,a3fqFsbten3YadFeemcNfvaTmWtnCBZc8au2FMz9uErmsY8rJ,JCRRT7DQDy4wss9JAUVdLgSjgJg5gHXk18ZCeMEWCcpLhNu,0xf8b5e0e09a75e75ca832a0e0602f8cb10b854a84,2092,a3fqFsbten3YadFeemcNfvaTmWtnCBZc8au2FMz9uErmsY8rJ,KINT,2022-03-01T11:04:12.375000Z,,
4748,200000000000,,pfY5EsmqwrsfR1EMyK9mFHvNj7faPpkoRvKHaRPYo35EQ97,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,DwaXHdMYCcWj4aSvn31VqhNVpFuFJ3dfnbXbUZamfU9YJbv,0x3c72e624f874ddf6e3e529bb95ead69f9f06cc8e,2092,a3baQySQnv2C2QSMxQDwBo5UhH2jRMBNEWgVDkpNFWKdCjqfM,,0.2,,2022-03-01T11:02:00.412000Z,qfJ7QM9SmRRJfGx79drERfhsViNku9DGc7xgLYP1cX8VA4u,a3caB1btAWqka3gdg9QFtGFrUmoL8Xgggyrgs9aVEy97Fzeo6,EwLZT6j92B4NJrAfxMhy259zarcRoN68xoAzEgaEUxCoBRC,0x6880213b4fe1104e6674ce0579c111b615808177,2092,a3caB1btAWqka3gdg9QFtGFrUmoL8Xgggyrgs9aVEy97Fzeo6,KINT,2022-03-01T11:02:00.412000Z,,
