,from_id,fromChain,to_id,toChain,kint,ksm,kbtc,timestamp,label_from_id,label_to_id
1461,a3dMJSmFcqTDpvRPfM2HKn7CHd5uw3G7atogtxXeXru3LGURE,2092,a3dMJSmFcqTDpvRPfM2HKn7CHd5uw3G7atogtxXeXru3LGURE,2000,0.0,0.0,2.97334668,2022-05-05T20:21:00.444000Z,@alibaba/Top Redeemer/Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink,@alibaba/Top Redeemer/Top Issuer/Top KINT Mover/Top KINT Sink/Top KBTC Mover/Top KBTC Sink
1462,a3dMNT1vy3fvLkBydZADzNQ3WPz449h3Fgoo3VSQ6k3Kqfchm,2092,a3cfoDY14wV6FirbXNuSB8mFFEK85NRDyQXNx8kqMpWivTHMP,2092,451.14,0.0,0.0,2022-03-22T09:24:54.565000Z,Top KINT Mover,Top KINT Mover/Top KINT Sink
1463,a3dMNT1vy3fvLkBydZADzNQ3WPz449h3Fgoo3VSQ6k3Kqfchm,2092,a3e99LdpbRkj3KKB5myM9M68ahAkwQoGF7faHrWyTEKZUMssc,2092,233.0,0.0,0.0,2022-02-20T21:14:24.310000Z,Top KINT Mover,Top KINT Mover/Top KINT Sink
1464,a3dNpHSiNX1GQdvP8EPXfFjUSNa9Gz8kNkHHMiGWtXDebL2hn,2092,a3dtigkC2uf411XjMBN4KE9WSaNQUV3TxhkoRgYtj2VRHYHkT,2092,0.000870299453,0.0,0.0,2022-02-25T01:52:54.300000Z,,shenanigans/Top KINT Sink/Top KSM Mover/Top KSM Sink/Top KBTC Mover
1465,a3dNvtZ9QaMYwJNrGUhY5o3BKmKbkvYFnspV2VvoBd1hmcZhC,2092,a3fpvouJTi3TqQBV2JKkrRpFeivsSFzhNdEBexCUTmsKUmkJM,2092,2.2,0.0,0.0,2022-04-24T06:23:00.540000Z,,Top KINT Mover/Top KINT Sink
1466,a3dNxuN9xeWDyMWiH1vvfjM5LRSEXHnJHG8pcKtLViDBpquRC,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,2092,1.799870099455,0.0,0.0,2022-04-02T19:58:48.623000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1467,a3dPGuky4RSDyQHwW1qxwRPcZLqDLe9CYPELGmUqS2tCzKUG1,2092,a3bkd4Z7FSnAVABG9JJV8UyESACpKgretzxMbYx7zLTLoVj2p,2092,3.999870099455,0.0,0.0,2022-04-15T02:41:42.203000Z,,shenanigans/Top KINT Mover/Top KINT Sink
1468,a3dPTp5Pg1z8ibQGbB8bK6yP5QaZhcEFMjMmwAnCsmKRhejLe,2092,a3b5jAhU7CKnBKA3y92HkiCqRTbSKRMK5kN3RVPXcKoH4SDaC,2092,0.0,6.99,0.0,2022-05-02T10:11:36.384000Z,Top KSM Mover,Social/Top KINT Mover/Top KSM Sink
1469,a3dPtRMDcjyenKyx2v5AvFQLBRddqdvTrzVZngV7xWEhs8ZWQ,2092,a3fLudF3N7NkNRH3HoyNYkxiRSwybtHrLZfNM8zn4XGzPsZfc,2092,0.11,0.0,0.0,2022-02-28T11:14:42.329000Z,,
1470,a3dQdrSNsoEZU6vNJdub6rb66KxXZvCBLsze24yvw81986CdA,2092,a3aWepSsLfy67vUAAaKCiSnCj7G72feeTCgfKCBLivBWWTdFW,2092,4.928278065055,0.0,0.0,2022-02-21T14:26:18.436000Z,,shenanigans/Top KINT Mover/Top KINT Sink
